,Rank,Num Serre,Scenario,Month Index,CA_expr,CMO_expr,CV_expr,Secteur
5111,213,24,15,21,40840994.11200001,5647088.859347394,25332574.08,6
5112,214,1,15,20,40963929.09766898,5732067.530335936,25370688.0,1
5113,214,2,15,20,40963929.09766898,5732067.530335936,25370688.0,1
5114,214,3,15,20,40963929.09766898,5732067.530335936,25370688.0,1
5115,214,4,15,20,40963929.09766898,5732067.530335936,25370688.0,1
5116,214,5,15,20,40963929.09766898,5732067.530335936,25370688.0,1
5117,214,6,15,20,40963929.09766898,5732067.530335936,25370688.0,1
5118,214,7,15,21,40963929.09766898,5732067.530335936,25370688.0,2
5119,214,8,15,21,40963929.09766898,5732067.530335936,25370688.0,2
5120,214,9,15,21,40963929.09766898,5732067.530335936,25370688.0,2
5121,214,10,15,21,40963929.09766898,5732067.530335936,25370688.0,2
5122,214,11,15,21,40963929.09766898,5732067.530335936,25370688.0,2
5123,214,12,11,46,40963929.09766898,5732067.530335936,25370688.0,3
5124,214,13,11,46,40963929.09766898,5732067.530335936,25370688.0,3
5125,214,14,11,46,40963929.09766898,5732067.530335936,25370688.0,3
5126,214,15,11,46,40963929.09766898,5732067.530335936,25370688.0,3
5127,214,16,11,46,40963929.09766898,5732067.530335936,25370688.0,3
5128,214,17,11,46,40963929.09766898,5732067.530335936,25370688.0,3
5129,214,18,11,46,40963929.09766898,5732067.530335936,25370688.0,4
5130,214,19,11,46,40963929.09766898,5732067.530335936,25370688.0,4
5131,214,20,11,48,40963929.09766898,5732067.530335936,25370688.0,5
5132,214,21,11,48,40963929.09766898,5732067.530335936,25370688.0,5
5133,214,22,11,47,40963929.09766898,5732067.530335936,25370688.0,6
5134,214,23,11,47,40963929.09766898,5732067.530335936,25370688.0,6
5135,214,24,11,47,40963929.09766898,5732067.530335936,25370688.0,6
5136,215,1,11,48,40648756.72522262,5507893.895451159,25279800.96000001,1
5137,215,2,11,48,40648756.72522262,5507893.895451159,25279800.96000001,1
5138,215,3,11,48,40648756.72522262,5507893.895451159,25279800.96000001,1
5139,215,4,11,48,40648756.72522262,5507893.895451159,25279800.96000001,1
5140,215,5,11,48,40648756.72522262,5507893.895451159,25279800.96000001,1
5141,215,6,11,48,40648756.72522262,5507893.895451159,25279800.96000001,1
5142,215,7,3,35,40648756.72522262,5507893.895451159,25279800.96000001,2
5143,215,8,3,35,40648756.72522262,5507893.895451159,25279800.96000001,2
5144,215,9,3,35,40648756.72522262,5507893.895451159,25279800.96000001,2
5145,215,10,3,35,40648756.72522262,5507893.895451159,25279800.96000001,2
5146,215,11,3,35,40648756.72522262,5507893.895451159,25279800.96000001,2
5147,215,12,11,46,40648756.72522262,5507893.895451159,25279800.96000001,3
5148,215,13,11,46,40648756.72522262,5507893.895451159,25279800.96000001,3
5149,215,14,11,46,40648756.72522262,5507893.895451159,25279800.96000001,3
5150,215,15,11,46,40648756.72522262,5507893.895451159,25279800.96000001,3
5151,215,16,11,46,40648756.72522262,5507893.895451159,25279800.96000001,3
5152,215,17,11,46,40648756.72522262,5507893.895451159,25279800.96000001,3
5153,215,18,11,47,40648756.72522262,5507893.895451159,25279800.96000001,4
5154,215,19,11,47,40648756.72522262,5507893.895451159,25279800.96000001,4
5155,215,20,15,20,40648756.72522262,5507893.895451159,25279800.96000001,5
5156,215,21,15,20,40648756.72522262,5507893.895451159,25279800.96000001,5
5157,215,22,15,20,40648756.72522262,5507893.895451159,25279800.96000001,6
5158,215,23,15,20,40648756.72522262,5507893.895451159,25279800.96000001,6
5159,215,24,15,20,40648756.72522262,5507893.895451159,25279800.96000001,6
5160,216,1,15,21,40756668.245090604,5525038.127566204,25370688.000000007,1
5161,216,2,15,21,40756668.245090604,5525038.127566204,25370688.000000007,1
5162,216,3,15,21,40756668.245090604,5525038.127566204,25370688.000000007,1
5163,216,4,15,21,40756668.245090604,5525038.127566204,25370688.000000007,1
5164,216,5,15,21,40756668.245090604,5525038.127566204,25370688.000000007,1
5165,216,6,15,21,40756668.245090604,5525038.127566204,25370688.000000007,1
5166,216,7,3,35,40756668.245090604,5525038.127566204,25370688.000000007,2
5167,216,8,3,35,40756668.245090604,5525038.127566204,25370688.000000007,2
5168,216,9,3,35,40756668.245090604,5525038.127566204,25370688.000000007,2
5169,216,10,3,35,40756668.245090604,5525038.127566204,25370688.000000007,2
5170,216,11,3,35,40756668.245090604,5525038.127566204,25370688.000000007,2
5171,216,12,11,46,40756668.245090604,5525038.127566204,25370688.000000007,3
5172,216,13,11,46,40756668.245090604,5525038.127566204,25370688.000000007,3
5173,216,14,11,46,40756668.245090604,5525038.127566204,25370688.000000007,3
5174,216,15,11,46,40756668.245090604,5525038.127566204,25370688.000000007,3
5175,216,16,11,46,40756668.245090604,5525038.127566204,25370688.000000007,3
5176,216,17,11,46,40756668.245090604,5525038.127566204,25370688.000000007,3
5177,216,18,11,48,40756668.245090604,5525038.127566204,25370688.000000007,4
5178,216,19,11,48,40756668.245090604,5525038.127566204,25370688.000000007,4
5179,216,20,11,48,40756668.245090604,5525038.127566204,25370688.000000007,5
5180,216,21,11,48,40756668.245090604,5525038.127566204,25370688.000000007,5
5181,216,22,11,46,40756668.245090604,5525038.127566204,25370688.000000007,6
5182,216,23,11,46,40756668.245090604,5525038.127566204,25370688.000000007,6
5183,216,24,11,46,40756668.245090604,5525038.127566204,25370688.000000007,6
5184,217,1,11,48,40633527.32293503,5440059.456577663,25332574.080000006,1
5185,217,2,11,48,40633527.32293503,5440059.456577663,25332574.080000006,1
5186,217,3,11,48,40633527.32293503,5440059.456577663,25332574.080000006,1
5187,217,4,11,48,40633527.32293503,5440059.456577663,25332574.080000006,1
5188,217,5,11,48,40633527.32293503,5440059.456577663,25332574.080000006,1
5189,217,6,11,48,40633527.32293503,5440059.456577663,25332574.080000006,1
5190,217,7,3,35,40633527.32293503,5440059.456577663,25332574.080000006,2
5191,217,8,3,35,40633527.32293503,5440059.456577663,25332574.080000006,2
5192,217,9,3,35,40633527.32293503,5440059.456577663,25332574.080000006,2
5193,217,10,3,35,40633527.32293503,5440059.456577663,25332574.080000006,2
5194,217,11,3,35,40633527.32293503,5440059.456577663,25332574.080000006,2
5195,217,12,11,46,40633527.32293503,5440059.456577663,25332574.080000006,3
5196,217,13,11,46,40633527.32293503,5440059.456577663,25332574.080000006,3
5197,217,14,11,46,40633527.32293503,5440059.456577663,25332574.080000006,3
5198,217,15,11,46,40633527.32293503,5440059.456577663,25332574.080000006,3
5199,217,16,11,46,40633527.32293503,5440059.456577663,25332574.080000006,3
5200,217,17,11,46,40633527.32293503,5440059.456577663,25332574.080000006,3
5201,217,18,3,34,40633527.32293503,5440059.456577663,25332574.080000006,4
5202,217,19,3,34,40633527.32293503,5440059.456577663,25332574.080000006,4
5203,217,20,11,47,40633527.32293503,5440059.456577663,25332574.080000006,5
5204,217,21,11,47,40633527.32293503,5440059.456577663,25332574.080000006,5
5205,217,22,15,22,40633527.32293503,5440059.456577663,25332574.080000006,6
5206,217,23,15,22,40633527.32293503,5440059.456577663,25332574.080000006,6
5207,217,24,15,22,40633527.32293503,5440059.456577663,25332574.080000006,6
5208,218,1,11,48,40648215.97641154,5454782.024665231,25332574.080000006,1
5209,218,2,11,48,40648215.97641154,5454782.024665231,25332574.080000006,1
5210,218,3,11,48,40648215.97641154,5454782.024665231,25332574.080000006,1
5211,218,4,11,48,40648215.97641154,5454782.024665231,25332574.080000006,1
5212,218,5,11,48,40648215.97641154,5454782.024665231,25332574.080000006,1
5213,218,6,11,48,40648215.97641154,5454782.024665231,25332574.080000006,1
5214,218,7,3,35,40648215.97641154,5454782.024665231,25332574.080000006,2
5215,218,8,3,35,40648215.97641154,5454782.024665231,25332574.080000006,2
5216,218,9,3,35,40648215.97641154,5454782.024665231,25332574.080000006,2
5217,218,10,3,35,40648215.97641154,5454782.024665231,25332574.080000006,2
5218,218,11,3,35,40648215.97641154,5454782.024665231,25332574.080000006,2
5219,218,12,11,46,40648215.97641154,5454782.024665231,25332574.080000006,3
5220,218,13,11,46,40648215.97641154,5454782.024665231,25332574.080000006,3
5221,218,14,11,46,40648215.97641154,5454782.024665231,25332574.080000006,3
5222,218,15,11,46,40648215.97641154,5454782.024665231,25332574.080000006,3
5223,218,16,11,46,40648215.97641154,5454782.024665231,25332574.080000006,3
5224,218,17,11,46,40648215.97641154,5454782.024665231,25332574.080000006,3
5225,218,18,2,31,40648215.97641154,5454782.024665231,25332574.080000006,4
5226,218,19,2,31,40648215.97641154,5454782.024665231,25332574.080000006,4
5227,218,20,11,46,40648215.97641154,5454782.024665231,25332574.080000006,5
5228,218,21,11,46,40648215.97641154,5454782.024665231,25332574.080000006,5
5229,218,22,15,20,40648215.97641154,5454782.024665231,25332574.080000006,6
5230,218,23,15,20,40648215.97641154,5454782.024665231,25332574.080000006,6
5231,218,24,15,20,40648215.97641154,5454782.024665231,25332574.080000006,6
5232,219,1,11,46,40633327.92078347,5440059.456577664,25332574.08,1
5233,219,2,11,46,40633327.92078347,5440059.456577664,25332574.08,1
5234,219,3,11,46,40633327.92078347,5440059.456577664,25332574.08,1
5235,219,4,11,46,40633327.92078347,5440059.456577664,25332574.08,1
5236,219,5,11,46,40633327.92078347,5440059.456577664,25332574.08,1
5237,219,6,11,46,40633327.92078347,5440059.456577664,25332574.08,1
5238,219,7,3,35,40633327.92078347,5440059.456577664,25332574.08,2
5239,219,8,3,35,40633327.92078347,5440059.456577664,25332574.08,2
5240,219,9,3,35,40633327.92078347,5440059.456577664,25332574.08,2
5241,219,10,3,35,40633327.92078347,5440059.456577664,25332574.08,2
5242,219,11,3,35,40633327.92078347,5440059.456577664,25332574.08,2
5243,219,12,11,48,40633327.92078347,5440059.456577664,25332574.08,3
5244,219,13,11,48,40633327.92078347,5440059.456577664,25332574.08,3
5245,219,14,11,48,40633327.92078347,5440059.456577664,25332574.08,3
5246,219,15,11,48,40633327.92078347,5440059.456577664,25332574.08,3
5247,219,16,11,48,40633327.92078347,5440059.456577664,25332574.08,3
5248,219,17,11,48,40633327.92078347,5440059.456577664,25332574.08,3
5249,219,18,3,34,40633327.92078347,5440059.456577664,25332574.08,4
5250,219,19,3,34,40633327.92078347,5440059.456577664,25332574.08,4
5251,219,20,11,46,40633327.92078347,5440059.456577664,25332574.08,5
5252,219,21,11,46,40633327.92078347,5440059.456577664,25332574.08,5
5253,219,22,15,20,40633327.92078347,5440059.456577664,25332574.08,6
5254,219,23,15,20,40633327.92078347,5440059.456577664,25332574.08,6
5255,219,24,15,20,40633327.92078347,5440059.456577664,25332574.08,6
5256,220,1,11,48,40769625.49028807,5576956.117876585,25332574.080000002,1
5257,220,2,11,48,40769625.49028807,5576956.117876585,25332574.080000002,1
5258,220,3,11,48,40769625.49028807,5576956.117876585,25332574.080000002,1
5259,220,4,11,48,40769625.49028807,5576956.117876585,25332574.080000002,1
